4  60.00 0.00 55.00  0.00 160.00  0.00 165.00  0.00 3850.50
4  60.00 0.00 55.00  0.00 165.00  0.00 170.00  0.00 3091.18
4  60.00 0.00 55.00  0.00 170.00  0.00 175.00  0.00 6617.93
4  60.00 0.00 55.00  0.00 175.00  0.00 180.00  0.00 3607.27
4  60.00 0.00 55.00  0.00 180.00  0.00 185.00  0.00 4809.37
4  60.00 0.00 55.00  0.00 185.00  0.00 190.00  0.00 4299.03
4  60.00 0.00 55.00  0.00 190.00  0.00 195.00  0.00 6591.17
4  60.00 0.00 55.00  0.00 195.00  0.00 200.00  0.00 8756.03
4  60.00 0.00 55.00  0.00 200.00  0.00 205.00  0.00 5104.27
4  60.00 0.00 55.00  0.00 210.00  0.00 215.00  0.00 10346.27
4  60.00 0.00 55.00  0.00 220.00  0.00 225.00  0.00 11242.68
4  65.00 0.00 60.00  0.00 70.00  0.00 75.00  0.00 5404.93
4  65.00 0.00 60.00  0.00 75.00  0.00 80.00  0.00 8260.51
4  65.00 0.00 60.00  0.00 80.00  0.00 85.00  0.00 9238.79
4  65.00 0.00 60.00  0.00 85.00  0.00 90.00  0.00 7952.82
4  65.00 0.00 60.00  0.00 90.00  0.00 95.00  0.00 10854.96
4  65.00 0.00 60.00  0.00 95.00  0.00 100.00  0.00 7807.97
4  65.00 0.00 60.00  0.00 100.00  0.00 105.00  0.00 9289.78
4  65.00 0.00 60.00  0.00 105.00  0.00 110.00  0.00 10698.38
4  65.00 0.00 60.00  0.00 120.00  0.00 125.00  0.00 5019.95
4  65.00 0.00 60.00  0.00 125.00  0.00 130.00  0.00 7497.29
4  65.00 0.00 60.00  0.00 130.00  0.00 135.00  0.00 10048.63
4  65.00 0.00 60.00  0.00 135.00  0.00 140.00  0.00 7077.41
4  65.00 0.00 60.00  0.00 140.00  0.00 145.00  0.00 6288.73
4  65.00 0.00 60.00  0.00 145.00  0.00 150.00  0.00 6013.90
4  65.00 0.00 60.00  0.00 150.00  0.00 155.00  0.00 4334.16
4  65.00 0.00 60.00  0.00 155.00  0.00 160.00  0.00 10667.47
4  65.00 0.00 60.00  0.00 160.00  0.00 165.00  0.00 5703.06
4  65.00 0.00 60.00  0.00 165.00  0.00 170.00  0.00 5413.80
4  65.00 0.00 60.00  0.00 170.00  0.00 175.00  0.00 11174.82
4  65.00 0.00 60.00  0.00 175.00  0.00 180.00  0.00 4913.12
4  65.00 0.00 60.00  0.00 180.00  0.00 185.00  0.00 7464.83
4  65.00 0.00 60.00  0.00 185.00  0.00 190.00  0.00 8243.18
4  65.00 0.00 60.00  0.00 190.00  0.00 195.00  0.00 19931.65
4  65.00 0.00 60.00  0.00 195.00  0.00 200.00  0.00 9569.82
4  65.00 0.00 60.00  0.00 200.00  0.00 205.00  0.00 6754.83
4  65.00 0.00 60.00  0.00 205.00  0.00 210.00  0.00 11650.47
4  65.00 0.00 60.00  0.00 210.00  0.00 215.00  0.00 13490.51
4  65.00 0.00 60.00  0.00 215.00  0.00 220.00  0.00 26186.59
4  65.00 0.00 60.00  0.00 220.00  0.00 225.00  0.00 13719.57
4  65.00 0.00 60.00  0.00 225.00  0.00 230.00  0.00 10887.04
4  70.00 0.00 65.00  0.00 75.00  0.00 80.00  0.00 4514.42
4  70.00 0.00 65.00  0.00 80.00  0.00 85.00  0.00 4062.03
4  70.00 0.00 65.00  0.00 85.00  0.00 90.00  0.00 3557.08
4  70.00 0.00 65.00  0.00 90.00  0.00 95.00  0.00 4677.88
4  70.00 0.00 65.00  0.00 95.00  0.00 100.00  0.00 3545.45
4  70.00 0.00 65.00  0.00 100.00  0.00 105.00  0.00 4233.72
4  70.00 0.00 65.00  0.00 105.00  0.00 110.00  0.00 4845.62
4  70.00 0.00 65.00  0.00 110.00  0.00 115.00  0.00 2929.67
4  70.00 0.00 65.00  0.00 115.00  0.00 120.00  0.00 2828.66
4  70.00 0.00 65.00  0.00 120.00  0.00 125.00  0.00 2221.38
4  70.00 0.00 65.00  0.00 125.00  0.00 130.00  0.00 3658.98
4  70.00 0.00 65.00  0.00 130.00  0.00 135.00  0.00 5055.99
4  70.00 0.00 65.00  0.00 135.00  0.00 140.00  0.00 3703.22
4  70.00 0.00 65.00  0.00 140.00  0.00 145.00  0.00 3233.55
4  70.00 0.00 65.00  0.00 145.00  0.00 150.00  0.00 2828.52
4  70.00 0.00 65.00  0.00 150.00  0.00 155.00  0.00 2300.04
4  70.00 0.00 65.00  0.00 155.00  0.00 160.00  0.00 5474.65
4  70.00 0.00 65.00  0.00 160.00  0.00 165.00  0.00 2822.55
4  70.00 0.00 65.00  0.00 165.00  0.00 170.00  0.00 2929.42
4  70.00 0.00 65.00  0.00 170.00  0.00 175.00  0.00 6256.64
4  70.00 0.00 65.00  0.00 175.00  0.00 180.00  0.00 2495.00
4  70.00 0.00 65.00  0.00 180.00  0.00 185.00  0.00 3930.46
4  70.00 0.00 65.00  0.00 185.00  0.00 190.00  0.00 5159.10
4  70.00 0.00 65.00  0.00 190.00  0.00 195.00  0.00 15790.38
4  70.00 0.00 65.00  0.00 195.00  0.00 200.00  0.00 4746.99
4  70.00 0.00 65.00  0.00 200.00  0.00 205.00  0.00 3448.98
4  70.00 0.00 65.00  0.00 205.00  0.00 210.00  0.00 8961.53
4  70.00 0.00 65.00  0.00 210.00  0.00 215.00  0.00 6771.08
4  70.00 0.00 65.00  0.00 215.00  0.00 220.00  0.00 19907.86
4  70.00 0.00 65.00  0.00 220.00  0.00 225.00  0.00 7412.00
4  70.00 0.00 65.00  0.00 225.00  0.00 230.00  0.00 7157.70
4  70.00 0.00 65.00  0.00 230.00  0.00 235.00  0.00 3053.23
4  75.00 0.00 70.00  0.00 80.00  0.00 85.00  0.00 3905.86
4  75.00 0.00 70.00  0.00 85.00  0.00 90.00  0.00 3056.16
4  75.00 0.00 70.00  0.00 90.00  0.00 95.00  0.00 4672.42
4  75.00 0.00 70.00  0.00 95.00  0.00 100.00  0.00 3551.97
4  75.00 0.00 70.00  0.00 100.00  0.00 105.00  0.00 4461.49
4  75.00 0.00 70.00  0.00 105.00  0.00 110.00  0.00 5351.87
4  75.00 0.00 70.00  0.00 110.00  0.00 115.00  0.00 3073.75
4  75.00 0.00 70.00  0.00 115.00  0.00 120.00  0.00 3215.80
4  75.00 0.00 70.00  0.00 120.00  0.00 125.00  0.00 2669.83
4  75.00 0.00 70.00  0.00 125.00  0.00 130.00  0.00 3761.98
