4  20.00 0.00 18.00  0.00 36.00  0.00 38.00  0.00 294.79 
4  20.00 0.00 18.00  0.00 38.00  0.00 40.00  0.00 575.24 
4  20.00 0.00 18.00  0.00 40.00  0.00 42.00  0.00 388.56 
4  20.00 0.00 18.00  0.00 42.00  0.00 44.00  0.00 347.76 
4  20.00 0.00 18.00  0.00 44.00  0.00 46.00  0.00 388.05 
4  20.00 0.00 18.00  0.00 46.00  0.00 48.00  0.00 417.46 
4  20.00 0.00 18.00  0.00 48.00  0.00 50.00  0.00 512.24 
4  20.00 0.00 18.00  0.00 50.00  0.00 52.00  0.00 550.74 
4  20.00 0.00 18.00  0.00 52.00  0.00 54.00  0.00 525.03 
4  20.00 0.00 18.00  0.00 54.00  0.00 56.00  0.00 508.99 
4  20.00 0.00 18.00  0.00 56.00  0.00 58.00  0.00 502.55 
4  20.00 0.00 18.00  0.00 58.00  0.00 60.00  0.00 556.91 
4  20.00 0.00 18.00  0.00 60.00  0.00 62.00  0.00 536.07 
4  20.00 0.00 18.00  0.00 62.00  0.00 64.00  0.00 498.33 
4  20.00 0.00 18.00  0.00 64.00  0.00 66.00  0.00 832.99 
4  20.00 0.00 18.00  0.00 66.00  0.00 68.00  0.00 495.33 
4  20.00 0.00 18.00  0.00 68.00  0.00 70.00  0.00 406.47 
4  20.00 0.00 18.00  0.00 70.00  0.00 72.00  0.00 380.83 
4  20.00 0.00 18.00  0.00 72.00  0.00 74.00  0.00 494.40 
4  20.00 0.00 18.00  0.00 74.00  0.00 76.00  0.00 517.13 
4  20.00 0.00 18.00  0.00 76.00  0.00 78.00  0.00 467.13 
4  20.00 0.00 18.00  0.00 78.00  0.00 80.00  0.00 450.14 
4  20.00 0.00 18.00  0.00 80.00  0.00 82.00  0.00 384.28 
4  20.00 0.00 18.00  0.00 82.00  0.00 84.00  0.00 477.02 
4  20.00 0.00 18.00  0.00 84.00  0.00 86.00  0.00 600.40 
4  22.00 0.00 20.00  0.00 24.00  0.00 26.00  0.00 96.21 
4  22.00 0.00 20.00  0.00 26.00  0.00 28.00  0.00 166.13 
4  22.00 0.00 20.00  0.00 28.00  0.00 30.00  0.00 205.18 
4  22.00 0.00 20.00  0.00 30.00  0.00 32.00  0.00 243.19 
4  22.00 0.00 20.00  0.00 32.00  0.00 34.00  0.00 316.35 
4  22.00 0.00 20.00  0.00 34.00  0.00 36.00  0.00 292.97 
4  22.00 0.00 20.00  0.00 36.00  0.00 38.00  0.00 257.14 
4  22.00 0.00 20.00  0.00 38.00  0.00 40.00  0.00 508.34 
4  22.00 0.00 20.00  0.00 40.00  0.00 42.00  0.00 354.45 
4  22.00 0.00 20.00  0.00 42.00  0.00 44.00  0.00 315.74 
4  22.00 0.00 20.00  0.00 44.00  0.00 46.00  0.00 355.78 
4  22.00 0.00 20.00  0.00 46.00  0.00 48.00  0.00 381.70 
4  22.00 0.00 20.00  0.00 48.00  0.00 50.00  0.00 465.52 
4  22.00 0.00 20.00  0.00 50.00  0.00 52.00  0.00 498.62 
4  22.00 0.00 20.00  0.00 52.00  0.00 54.00  0.00 485.16 
4  22.00 0.00 20.00  0.00 54.00  0.00 56.00  0.00 465.79 
4  22.00 0.00 20.00  0.00 56.00  0.00 58.00  0.00 460.66 
4  22.00 0.00 20.00  0.00 58.00  0.00 60.00  0.00 512.11 
4  22.00 0.00 20.00  0.00 60.00  0.00 62.00  0.00 498.92 
4  22.00 0.00 20.00  0.00 62.00  0.00 64.00  0.00 462.96 
4  22.00 0.00 20.00  0.00 64.00  0.00 66.00  0.00 772.49 
4  22.00 0.00 20.00  0.00 66.00  0.00 68.00  0.00 459.09 
4  22.00 0.00 20.00  0.00 68.00  0.00 70.00  0.00 383.04 
4  22.00 0.00 20.00  0.00 70.00  0.00 72.00  0.00 356.13 
4  22.00 0.00 20.00  0.00 72.00  0.00 74.00  0.00 464.56 
4  22.00 0.00 20.00  0.00 74.00  0.00 76.00  0.00 486.93 
4  22.00 0.00 20.00  0.00 76.00  0.00 78.00  0.00 441.12 
4  22.00 0.00 20.00  0.00 78.00  0.00 80.00  0.00 423.56 
4  22.00 0.00 20.00  0.00 80.00  0.00 82.00  0.00 364.04 
4  22.00 0.00 20.00  0.00 82.00  0.00 84.00  0.00 451.48 
4  22.00 0.00 20.00  0.00 84.00  0.00 86.00  0.00 568.55 
4  22.00 0.00 20.00  0.00 86.00  0.00 88.00  0.00 731.12 
4  24.00 0.00 22.00  0.00 26.00  0.00 28.00  0.00 115.53 
4  24.00 0.00 22.00  0.00 28.00  0.00 30.00  0.00 170.07 
4  24.00 0.00 22.00  0.00 30.00  0.00 32.00  0.00 215.73 
4  24.00 0.00 22.00  0.00 32.00  0.00 34.00  0.00 293.56 
4  24.00 0.00 22.00  0.00 34.00  0.00 36.00  0.00 289.17 
4  24.00 0.00 22.00  0.00 36.00  0.00 38.00  0.00 261.79 
4  24.00 0.00 22.00  0.00 38.00  0.00 40.00  0.00 514.09 
4  24.00 0.00 22.00  0.00 40.00  0.00 42.00  0.00 341.28 
4  24.00 0.00 22.00  0.00 42.00  0.00 44.00  0.00 322.09 
4  24.00 0.00 22.00  0.00 44.00  0.00 46.00  0.00 357.13 
4  24.00 0.00 22.00  0.00 46.00  0.00 48.00  0.00 392.72 
4  24.00 0.00 22.00  0.00 48.00  0.00 50.00  0.00 497.17 
4  24.00 0.00 22.00  0.00 50.00  0.00 52.00  0.00 546.70 
4  24.00 0.00 22.00  0.00 52.00  0.00 54.00  0.00 495.56 
4  24.00 0.00 22.00  0.00 54.00  0.00 56.00  0.00 506.64 
4  24.00 0.00 22.00  0.00 56.00  0.00 58.00  0.00 492.12 
4  24.00 0.00 22.00  0.00 58.00  0.00 60.00  0.00 551.34 
4  24.00 0.00 22.00  0.00 60.00  0.00 62.00  0.00 522.63 
4  24.00 0.00 22.00  0.00 62.00  0.00 64.00  0.00 487.84 
4  24.00 0.00 22.00  0.00 64.00  0.00 66.00  0.00 829.23 
4  24.00 0.00 22.00  0.00 66.00  0.00 68.00  0.00 500.96 
4  24.00 0.00 22.00  0.00 68.00  0.00 70.00  0.00 385.32 
4  24.00 0.00 22.00  0.00 70.00  0.00 72.00  0.00 367.66 
4  24.00 0.00 22.00  0.00 72.00  0.00 74.00  0.00 480.37 
4  24.00 0.00 22.00  0.00 74.00  0.00 76.00  0.00 507.96 
4  24.00 0.00 22.00  0.00 76.00  0.00 78.00  0.00 463.92 
4  24.00 0.00 22.00  0.00 78.00  0.00 80.00  0.00 447.67 
4  24.00 0.00 22.00  0.00 80.00  0.00 82.00  0.00 389.87 
4  24.00 0.00 22.00  0.00 82.00  0.00 84.00  0.00 480.04 
4  24.00 0.00 22.00  0.00 84.00  0.00 86.00  0.00 604.37 
4  24.00 0.00 22.00  0.00 86.00  0.00 88.00  0.00 782.27 
4  24.00 0.00 22.00  0.00 88.00  0.00 90.00  0.00 776.90 
4  26.00 0.00 24.00  0.00 28.00  0.00 30.00  0.00 115.94 
4  26.00 0.00 24.00  0.00 30.00  0.00 32.00  0.00 173.67 
4  26.00 0.00 24.00  0.00 32.00  0.00 34.00  0.00 249.10 
4  26.00 0.00 24.00  0.00 34.00  0.00 36.00  0.00 248.42 
4  26.00 0.00 24.00  0.00 36.00  0.00 38.00  0.00 222.55 
4  26.00 0.00 24.00  0.00 38.00  0.00 40.00  0.00 448.17 
4  26.00 0.00 24.00  0.00 40.00  0.00 42.00  0.00 320.77 
4  26.00 0.00 24.00  0.00 42.00  0.00 44.00  0.00 292.69 
4  26.00 0.00 24.00  0.00 44.00  0.00 46.00  0.00 331.50 
4  26.00 0.00 24.00  0.00 46.00  0.00 48.00  0.00 358.61 
4  26.00 0.00 24.00  0.00 48.00  0.00 50.00  0.00 440.45 
4  26.00 0.00 24.00  0.00 50.00  0.00 52.00  0.00 476.32 
4  26.00 0.00 24.00  0.00 52.00  0.00 54.00  0.00 459.12 
4  26.00 0.00 24.00  0.00 54.00  0.00 56.00  0.00 445.76 
4  26.00 0.00 24.00  0.00 56.00  0.00 58.00  0.00 440.31 
4  26.00 0.00 24.00  0.00 58.00  0.00 60.00  0.00 493.25 
4  26.00 0.00 24.00  0.00 60.00  0.00 62.00  0.00 481.38 
4  26.00 0.00 24.00  0.00 62.00  0.00 64.00  0.00 447.14 
4  26.00 0.00 24.00  0.00 64.00  0.00 66.00  0.00 747.33 
4  26.00 0.00 24.00  0.00 66.00  0.00 68.00  0.00 447.86 
4  26.00 0.00 24.00  0.00 68.00  0.00 70.00  0.00 371.13 
4  26.00 0.00 24.00  0.00 70.00  0.00 72.00  0.00 348.17 
4  26.00 0.00 24.00  0.00 72.00  0.00 74.00  0.00 456.28 
4  26.00 0.00 24.00  0.00 74.00  0.00 76.00  0.00 480.50 
4  26.00 0.00 24.00  0.00 76.00  0.00 78.00  0.00 438.13 
4  26.00 0.00 24.00  0.00 78.00  0.00 80.00  0.00 421.20 
4  26.00 0.00 24.00  0.00 80.00  0.00 82.00  0.00 360.98 
4  26.00 0.00 24.00  0.00 82.00  0.00 84.00  0.00 453.28 
4  26.00 0.00 24.00  0.00 84.00  0.00 86.00  0.00 570.75 
4  26.00 0.00 24.00  0.00 86.00  0.00 88.00  0.00 730.00 
4  26.00 0.00 24.00  0.00 88.00  0.00 90.00  0.00 699.18 
4  26.00 0.00 24.00  0.00 90.00  0.00 92.00  0.00 689.71 
4  28.00 0.00 26.00  0.00 30.00  0.00 32.00  0.00 124.38 
4  28.00 0.00 26.00  0.00 32.00  0.00 34.00  0.00 210.01 
