48 	 # Number of sensors 
# x z 
0.00 -9.30 
4.90 -8.60 
9.90 -7.90 
14.90 -7.40 
19.90 -7.10 
24.90 -6.90 
29.90 -6.80 
34.90 -6.70 
39.90 -6.60 
44.90 -6.30 
49.80 -6.20 
54.80 -5.70 
59.80 -5.00 
64.80 -4.50 
69.70 -4.20 
74.70 -3.80 
79.70 -3.20 
84.70 -2.80 
89.70 -2.50 
94.70 -2.20 
99.70 -2.00 
104.60 -1.80 
109.60 -1.60 
114.60 -1.30 
119.60 -1.20 
124.60 -1.00 
129.60 -0.80 
134.60 -0.40 
139.60 -0.30 
144.60 -0.10 
149.60 -0.10 
154.60 0.00 
159.60 -0.40 
164.60 -1.00 
169.50 -1.30 
174.50 -1.40 
179.50 -1.60 
184.50 -1.70 
189.50 -1.60 
194.50 -1.60 
199.50 -1.60 
204.50 -1.70 
209.50 -2.30 
214.50 -2.90 
219.40 -3.40 
224.40 -3.40 
229.40 -3.30 
234.40 -3.20 
792 	 # Number of measurements 
# a b m n rhoa err
13 14 30 31 464.81 0.040 
14 15 31 32 564.18 0.040 
15 16 32 33 725.67 0.040 
16 17 33 34 911.94 0.040 
17 18 34 35 1407.60 0.040 
18 19 35 36 518.60 0.040 
19 20 36 37 846.62 0.040 
20 21 37 38 1012.10 0.040 
21 22 38 39 1152.80 0.040 
22 23 39 40 315.98 0.040 
23 24 40 41 638.83 0.040 
24 25 41 42 571.25 0.040 
26 27 43 44 610.26 0.040 
27 28 44 45 714.65 0.040 
28 29 45 46 631.04 0.040 
29 30 46 47 466.96 0.040 
30 31 47 48 359.97 0.040 
3 4 21 22 590.06 0.040 
5 6 23 24 547.95 0.040 
6 7 24 25 649.88 0.040 
7 8 25 26 1369.90 0.040 
8 9 26 27 564.63 0.040 
9 10 27 28 376.71 0.040 
10 11 28 29 232.86 0.040 
11 12 29 30 212.88 0.040 
12 13 30 31 423.00 0.040 
13 14 31 32 487.46 0.040 
14 15 32 33 596.88 0.040 
15 16 33 34 837.12 0.040 
16 17 34 35 628.56 0.040 
17 18 35 36 544.03 0.040 
18 19 36 37 1016.20 0.040 
19 20 37 38 1669.00 0.040 
20 21 38 39 865.73 0.040 
21 22 39 40 431.59 0.040 
22 23 40 41 865.71 0.040 
23 24 41 42 611.66 0.040 
24 25 42 43 613.07 0.040 
26 27 44 45 697.02 0.040 
27 28 45 46 938.55 0.040 
29 30 47 48 507.50 0.040 
5 6 24 25 570.81 0.040 
6 7 25 26 842.99 0.040 
7 8 26 27 1220.40 0.040 
8 9 27 28 709.55 0.040 
9 10 28 29 313.51 0.040 
10 11 29 30 244.25 0.040 
11 12 30 31 177.52 0.040 
12 13 31 32 435.78 0.040 
13 14 32 33 494.65 0.040 
14 15 33 34 685.72 0.040 
15 16 34 35 580.66 0.040 
16 17 35 36 260.99 0.040 
17 18 36 37 963.27 0.040 
18 19 37 38 1820.10 0.040 
19 20 38 39 1266.80 0.040 
21 22 40 41 1093.40 0.040 
22 23 41 42 817.09 0.040 
23 24 42 43 642.04 0.040 
24 25 43 44 753.15 0.040 
26 27 45 46 813.53 0.040 
27 28 46 47 588.34 0.040 
28 29 47 48 398.24 0.040 
3 4 23 24 344.80 0.040 
5 6 25 26 740.32 0.040 
6 7 26 27 741.10 0.040 
7 8 27 28 1605.90 0.040 
8 9 28 29 630.44 0.040 
9 10 29 30 336.91 0.040 
10 11 30 31 201.73 0.040 
11 12 31 32 176.09 0.040 
12 13 32 33 449.88 0.040 
13 14 33 34 593.13 0.040 
14 15 34 35 476.47 0.040 
15 16 35 36 236.21 0.040 
16 17 36 37 417.76 0.040 
17 18 37 38 1889.70 0.040 
18 19 38 39 1472.40 0.040 
19 20 39 40 371.38 0.040 
20 21 40 41 803.20 0.040 
21 22 41 42 1065.90 0.040 
22 23 42 43 842.60 0.040 
23 24 43 44 841.90 0.040 
24 25 44 45 631.72 0.040 
25 26 45 46 1019.60 0.040 
26 27 46 47 462.93 0.040 
27 28 47 48 668.62 0.040 
5 6 26 27 651.36 0.040 
6 7 27 28 1004.30 0.040 
7 8 28 29 1330.10 0.040 
8 9 29 30 633.04 0.040 
9 10 30 31 279.45 0.040 
10 11 31 32 205.06 0.040 
11 12 32 33 189.77 0.040 
12 13 33 34 523.24 0.040 
13 14 34 35 381.21 0.040 
14 15 35 36 186.92 0.040 
15 16 36 37 395.75 0.040 
16 17 37 38 887.12 0.040 
17 18 38 39 1385.70 0.040 
19 20 40 41 1277.30 0.040 
20 21 41 42 633.18 0.040 
21 22 42 43 1016.50 0.040 
22 23 43 44 1068.20 0.040 
23 24 44 45 624.93 0.040 
24 25 45 46 804.02 0.040 
25 26 46 47 516.49 0.040 
26 27 47 48 500.82 0.040 
5 6 27 28 897.47 0.040 
6 7 28 29 820.73 0.040 
7 8 29 30 1384.10 0.040 
8 9 30 31 579.14 0.040 
9 10 31 32 289.88 0.040 
10 11 32 33 212.84 0.040 
11 12 33 34 204.92 0.040 
12 13 34 35 354.91 0.040 
13 14 35 36 160.61 0.040 
14 15 36 37 324.67 0.040 
15 16 37 38 787.43 0.040 
18 19 40 41 1434.00 0.040 
20 21 42 43 737.48 0.040 
21 22 43 44 1374.70 0.040 
22 23 44 45 854.68 0.040 
23 24 45 46 837.47 0.040 
24 25 46 47 508.77 0.040 
25 26 47 48 633.65 0.040 
5 6 28 29 731.74 0.040 
6 7 29 30 866.98 0.040 
7 8 30 31 1148.80 0.040 
8 9 31 32 517.06 0.040 
9 10 32 33 290.66 0.040 
10 11 33 34 252.20 0.040 
11 12 34 35 148.71 0.040 
12 13 35 36 142.71 0.040 
13 14 36 37 259.82 0.040 
14 15 37 38 631.85 0.040 
15 16 38 39 572.53 0.040 
17 18 40 41 1492.70 0.040 
18 19 41 42 1169.80 0.040 
20 21 43 44 848.86 0.040 
21 22 44 45 1041.30 0.040 
22 23 45 46 1123.50 0.040 
23 24 46 47 539.61 0.040 
24 25 47 48 541.47 0.040 
5 6 29 30 779.25 0.040 
6 7 30 31 710.36 0.040 
7 8 31 32 1158.80 0.040 
8 9 32 33 610.24 0.040 
9 10 33 34 371.35 0.040 
10 11 34 35 176.44 0.040 
11 12 35 36 56.20 0.040 
12 13 36 37 226.43 0.040 
13 14 37 38 538.23 0.040 
14 15 38 39 456.29 0.040 
15 16 39 40 204.68 0.040 
18 19 42 43 1313.10 0.040 
20 21 44 45 858.59 0.040 
21 22 45 46 1363.40 0.040 
22 23 46 47 677.08 0.040 
23 24 47 48 570.30 0.040 
5 6 30 31 639.75 0.040 
6 7 31 32 735.40 0.040 
7 8 32 33 1196.60 0.040 
8 9 33 34 655.24 0.040 
9 10 34 35 256.17 0.040 
10 11 35 36 61.91 0.040 
11 12 36 37 95.42 0.040 
12 13 37 38 487.67 0.040 
13 14 38 39 359.18 0.040 
14 15 39 40 147.93 0.040 
15 16 40 41 536.99 0.040 
